path,sentence,russian_translation,russian_pronunciation,categories
basic_001.wav,안녕하세요.,Здравствуйте.,Аннёнхасэё.,Приветствия (인사)
basic_002.wav,반갑습니다.,Рад встрече.,Пангапсымнида.,Приветствия (인사)
basic_003.wav,감사합니다.,Спасибо.,Камсахамнида.,Приветствия (인사)
basic_004.wav,고맙습니다.,Благодарю.,Комапсымнида.,Приветствия (인사)
basic_005.wav,죄송합니다.,Извините.,Чвесонхамнида.,Приветствия (인사)
basic_006.wav,미안합니다.,Простите.,Мианхамнида.,Приветствия (인사)
basic_007.wav,네.,Да.,Нэ.,Приветствия (인사)
basic_008.wav,아니요.,Нет.,Аниё.,Приветствия (인사)
basic_009.wav,괜찮아요.,Все в порядке.,Квэнчханаё.,Приветствия (인사)
basic_010.wav,축하합니다.,Поздравляю.,Чхукхахамнида.,Приветствия (인사)
basic_011.wav,안녕히 계세요.,До свидания (остающемуся).,Аннёнхи кесэё.,Приветствия (인사)
basic_012.wav,안녕히 가세요.,До свидания (уходящему).,Аннёнхи касэё.,Приветствия (인사)
basic_013.wav,환영합니다.,Добро пожаловать.,Хванъёнхамнида.,Приветствия (인사)
basic_014.wav,잘 부탁드립니다.,Прошу вашей поддержки.,Чаль путхакдыримнида.,Приветствия (인사)
basic_015.wav,오랜만이에요.,Давно не виделись.,Орэнманиэё.,Приветствия (인사)
basic_016.wav,잘 지냈어요?,Как дела?,Чаль чинэссоё?,Приветствия (인사)
basic_017.wav,이름이 무엇입니까?,Как вас зовут?,Ирыми муосимникка?,Повседневная жизнь (일상 생활)
basic_018.wav,제 이름은 민수입니다.,Меня зовут Минсу.,Че ирымын Минсуимнида.,Повседневная жизнь (일상 생활)
basic_019.wav,저는 학생입니다.,Я студент.,Чонын хаксэнъимнида.,Повседневная жизнь (일상 생활)
basic_020.wav,어디에 삽니까?,Где вы живете?,Одие самникка?,Повседневная жизнь (일상 생활)
basic_021.wav,서울에 삽니다.,Я живу в Сеуле.,Соуре самнида.,Повседневная жизнь (일상 생활)
basic_022.wav,만나서 반갑습니다.,Рад знакомству с вами.,Маннасо пангапсымнида.,Повседневная жизнь (일상 생활)
basic_023.wav,이것은 무엇입니까?,Что это такое?,Игосын муосимникка?,Повседневная жизнь (일상 생활)
basic_024.wav,그것은 책입니다.,То книга.,Кыгосын чхэгимнида.,Повседневная жизнь (일상 생활)
basic_025.wav,오늘 날씨가 좋아요.,Сегодня хорошая погода.,Оныль нальссига чоаё.,Повседневная жизнь (일상 생활)
basic_026.wav,지금 몇 시예요?,Который час сейчас?,Чигым мёт сиеё?,Повседневная жизнь (일상 생활)
